Ref_seq	Species	Genus	Family	Order	Class
394AchB10	Achnanthes_pseudoswazi	Achnanthes	Achnanthaceae	NA	Bacillariophyceae
080AchP07	Achnanthidium	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
391AchB10	Achnanthidium_affinis	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
172AchB05	Achnanthidium_caledonicum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
407AchB10	Achnanthidium_caledonicum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
430AchT01	Achnanthidium_caledonicum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
464AchR03	Achnanthidium_caledonicum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
140AchB04	Achnanthidium_caledonicum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
181AchB06	Achnanthidium_caledonicum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
209AchB07	Achnanthidium_caledonicum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
206AchB07	Achnanthidium_jackii	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
152AchB04	Achnanthidium_lineare	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
208AchB07	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
239AchB08	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
724AchB12	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
903AchR05	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
058AchP05	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
145AchB04	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
176AchB05	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
119AchB01	Achnanthidium_minutissimum_var_jackii	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
666AchK09	Achnanthidium_minutissim_var_jackii	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
690AchK10	Achnanthidium_minutissim_var_jackii	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
384AchB10	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
415AchT01	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
460AchR03	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
545AchK01	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
707AchK11	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
727AchB12	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
906AchR05	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
224AchB08	Achnanthidium_minutissimum__	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
007AchP02	Achnanthidium_minutissimum_jackii	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
060AchP05	Achnanthidium_minutissimum_jackii	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
001AchP01	Achnanthidium_minutissimum_jackii_	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
337AchT01	Achnanthidium_minutissimum_var_jackii	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
398AchB10	Achnanthidium_minutissimum_var_jackii	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
472AchR03	Achnanthidium_minutissimum_var_jackii	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
542AchK01	Achnanthidium_minutissimum_var_jackii	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
339AchT01	Achnanthidium_minutissimum_var_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
342AchT01	Achnanthidium_minutissimum_var_minutissimum	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
559AchK01	Achnanthidium_minutissmium	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
634AchP11	Achnanthidium_minutissmium	Achnanthidium	Achnanthidiaceae	NA	Bacillariophyceae
892AdlR05	Adlafia_minuscula	Adlafia	Sellaphoraceae	NA	Bacillariophyceae
507AdlR04	Adlafia_suchlandtii	Adlafia	Sellaphoraceae	NA	Bacillariophyceae
679AmpK09	Amphora_indistincta	Amphora	Catenulaceae	NA	Bacillariophyceae
079AmpP07	Amphora_pediculus	Amphora	Catenulaceae	NA	Bacillariophyceae
087AmpP07	Amphora_pediculus	Amphora	Catenulaceae	NA	Bacillariophyceae
125BraB02	Brachysira_neoexilis	Brachysira	Brachysiraceae	NA	Bacillariophyceae
144BraB04	Brachysira_neoexilis	Brachysira	Brachysiraceae	NA	Bacillariophyceae
182BraB06	Brachysira_neoexilis	Brachysira	Brachysiraceae	NA	Bacillariophyceae
396BraB10	Brachysira_neoexilis	Brachysira	Brachysiraceae	NA	Bacillariophyceae
630CalP11	Caloneis_bacillum	Caloneis	Bacillariophyceae	NA	Pinnulariaceae
504CalR04	Caloneis_lancettula	Caloneis	Bacillariophyceae	NA	Pinnulariaceae
506CalR04	Caloneis_sp	Caloneis	Bacillariophyceae	NA	Pinnulariaceae
310CocC07	Cocconeis_pediculus	Cocconeis	Cocconeidaceae	NA	Bacillariophyceae
723CocK13	Cocconeis_pediculus	Cocconeis	Cocconeidaceae	NA	Bacillariophyceae
672CocK09	Cocconeis_placentula_var_euglypta	Cocconeis	Cocconeidaceae	NA	Bacillariophyceae
689CocK10	Cocconeis_placentula_var_euglypta	Cocconeis	Stephanodiscaceae	NA	Coscinodiscophyceae
285CycC06	Cyclotella_meneghiana	Cyclotella	Stephanodiscaceae	NA	Coscinodiscophyceae
487CycR03	Cyclotella_meneghiana	Cyclotella	Stephanodiscaceae	NA	Coscinodiscophyceae
529CycK02	Cyclotella_meneghiana	Cyclotella	Stephanodiscaceae	NA	Coscinodiscophyceae
633CycP11	Cyclotella_meneghiana	Cyclotella	Stephanodiscaceae	NA	Coscinodiscophyceae
648CycK07	Cyclotella_meneghiniana	Cyclotella	Stephanodiscaceae	NA	Coscinodiscophyceae
656CycK08	Cyclotella_meneghiniana	Cyclotella	Stephanodiscaceae	NA	Coscinodiscophyceae
783CycN01	Cyclotella_meneghiniana	Cyclotella	Stephanodiscaceae	NA	Coscinodiscophyceae
755CymR05	Cymatopleura_solea	Cymatopleura	Surirellaceae	NA	Bacillariophyceae
006CymP02	Cymbella_cymbiformis	Cymbella	Cymbellaceae	NA	Bacillariophyceae
029CymP02	Cymbella_neocistula	Cymbella	Cymbellaceae	NA	Bacillariophyceae
265CymB10	Cymbopleura_incerta	Cymbopleura	Cymbellaceae	NA	Bacillariophyceae
050DiaP04	Diatoma	Diatoma	Fragilariaceae	NA	Bacillariophyceae
494DiaR03	Diatoma_problematica	Diatoma	Fragilariaceae	NA	Bacillariophyceae
023DiaP02	Diatoma_tenuis	Diatoma	Fragilariaceae	NA	Bacillariophyceae
035DiaP03	Diatoma_tenuis	Diatoma	Fragilariaceae	NA	Bacillariophyceae
030DiaP02	Diatoma_moniliformis	Diatoma	Fragilariaceae	NA	Bacillariophyceae
052DiaP04	Diatoma_moniliformis	Diatoma	Fragilariaceae	NA	Bacillariophyceae
008DiaP02	Diatoma_moniliformis_ssp_moniliformis	Diatoma	Fragilariaceae	NA	Bacillariophyceae
049DiaP04	Diatoma_tenuis	Diatoma	Fragilariaceae	NA	Bacillariophyceae
659DiaK08	Diatoma_vulgare	Diatoma	Fragilariaceae	NA	Bacillariophyceae
693DiaK10	Diatoma_vulgare	Diatoma	Fragilariaceae	NA	Bacillariophyceae
721DiaK13	Diatoma_vulgare	Diatoma	Fragilariaceae	NA	Bacillariophyceae
075DipP07	Diploneis_krammeri	Diploneis	Diploneidineae	NA	Bacillariophyceae
040EncP04	Encyonema	Encyonema	Cymbellaceae	NA	Bacillariophyceae
086EncP07	Encyonema	Encyonema	Cymbellaceae	NA	Bacillariophyceae
258EncB10	Encyonema_lunatum	Encyonema	Cymbellaceae	NA	Bacillariophyceae
268EncB11	Encyonema_lunatum	Encyonema	Cymbellaceae	NA	Bacillariophyceae
445EncT01	Encyonema_lunatum	Encyonema	Cymbellaceae	NA	Bacillariophyceae
004EncP02	Encyonema_silesiacum	Encyonema	Cymbellaceae	NA	Bacillariophyceae
045EncP04	Encyonema_silesiacum	Encyonema	Cymbellaceae	NA	Bacillariophyceae
360EncW01	Encyonema_ventricosum	Encyonema	Cymbellaceae	NA	Bacillariophyceae
071EncP07	Encyonema_minutum_or_silesiacum	Encyonema	Cymbellaceae	NA	Bacillariophyceae
314EncW02	Encyonema_minutum_or_silesiacum	Encyonema	Cymbellaceae	NA	Bacillariophyceae
