Strain	Species	Genus	Family	Class	correction	
000	No_Match	No_Match	No_Match	No_Match	1	
002	Surirella_brebissonii	Surirella	Surirellaceae	Bacillariophyceae	1	
005	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
006	Cymbella_cymbiformis	Cymbella	Cymbellaceae	Bacillariophyceae	1	
007	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1	
008	Diatoma_moniliformis	Diatoma	Fragilariaceae	Bacillariophyceae	1	
009	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
012	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
013	Tabellaria_flocculosa	Tabellaria	Tabellariaceae	Bacillariophyceae	1	
015	Fragilaria_Lyngbye	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
018	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
023	Diatoma_tenuis	Diatoma	Fragilariaceae	Bacillariophyceae	1	
024	Ulnaria_acus	Ulnaria	Fragilariaceae	Bacillariophyceae	1	
027	Fragilaria_radians	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
029	Cymbella_cf	Cymbella	Cymbellaceae	Bacillariophyceae	1	
030	Diatoma_moniliformis	Diatoma	Fragilariaceae	Bacillariophyceae	1	
031	Navicula_radiosa	Navicula	Naviculaceae	Bacillariophyceae	1	
032	Fragilaria_Lyngbye	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
034	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
035	Diatoma_moniliformis	Diatoma	Fragilariaceae	Bacillariophyceae	1	
036	Navicula_gregaria	Navicula	Naviculaceae	Bacillariophyceae	1	
038	Fragilaria_perminuta	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
041	Fragilaria_vaucheriae	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
042	Fragilaria_vaucheriae	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
043	Fragilaria_perminuta	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
044	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1	
046	Fragilaria_vaucheriae	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
047	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
048	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
049	Diatoma_moniliformis	Diatoma	Fragilariaceae	Bacillariophyceae	1	
050	Diatoma_moniliformis	Diatoma	Fragilariaceae	Bacillariophyceae	1	
052	Diatoma_moniliformis	Diatoma	Fragilariaceae	Bacillariophyceae	1	
055	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1	
056	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
057	Pinnularia_grunowii	Pinnularia	Pinnulariaceae	Bacillariophyceae	1	
058	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1	
061	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1	
062	Gomphonema_micropus	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
063	Gomphonema_micropus	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
066	Navicula_cryptocephala	Navicula	Naviculaceae	Bacillariophyceae	1	
068	Navicula_radiosa	Navicula	Naviculaceae	Bacillariophyceae	1	
069	Navicula_radiosa	Navicula	Naviculaceae	Bacillariophyceae	1	
071	Encyonema_silesiacum	Encyonema	Cymbellaceae	Bacillariophyceae	1	
072	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1	
077	Planothidium_lanceolatum	Planothidium	Achnanthidiaceae	Bacillariophyceae	1	
079	Amphora_pediculus	Amphora	Catenulaceae	Bacillariophyceae	0.625	
081	Navicula_cryptotenella	Navicula	Naviculaceae	Bacillariophyceae	1	
082	Adlafia_minuscula	Adlafia	Sellaphoraceae	Bacillariophyceae	1	
084	Navicula_lanceolata	Navicula	Naviculaceae	Bacillariophyceae	1	
085	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
087	Amphora_pediculus	Amphora	Catenulaceae	Bacillariophyceae	0.625	
088	Eunotia_minor	Eunotia	Eunotiaceae	Bacillariophyceae	1	
090	Gomphonema_clavatum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
091	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1	
092	Eunotia_minor	Eunotia	Eunotiaceae	Bacillariophyceae	1	
095	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
100	Eunotia_exigua	Eunotia	Eunotiaceae	Bacillariophyceae	1	
101	Eunotia_exigua	Eunotia	Eunotiaceae	Bacillariophyceae	1	
102	Eunotia_bilunaris	Eunotia	Eunotiaceae	Bacillariophyceae	1	
104	Peronia_fibula	Peronia	Peroniaceae	Bacillariophyceae	1	
105	Pinnularia_subcapitata	Pinnularia	Pinnulariaceae	Bacillariophyceae	1	
107	Tabellaria_flocculosa	Tabellaria	Tabellariaceae	Bacillariophyceae	1	
108	Navicula_angusta	Navicula	Naviculaceae	Bacillariophyceae	1	
111	Pinnularia_subcapitata	Pinnularia	Pinnulariaceae	Bacillariophyceae	1	
116	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
117	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
120	Gomphonema_exilissimum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
121	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
122	Pinnularia_sp.	Pinnularia	Pinnulariaceae	Bacillariophyceae	1	
123	Gomphonema_hebridense	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
124	Gomphonema_hebridense	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
125	Brachysira_microcephala	Brachysira	Brachysiraceae	Bacillariophyceae	1	
126	Pinnularia_sp.	Pinnularia	Pinnulariaceae	Bacillariophyceae	1	
130	Gomphonema_hebridense	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
134	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
135	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
136	Tabellaria_flocculosa	Tabellaria	Tabellariaceae	Bacillariophyceae	1	
137	Gomphonema_exilissimum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
143	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
144	Brachysira_vitrea	Brachysira	Brachysiraceae	Bacillariophyceae	1	
145	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1	
146	Tabellaria_flocculosa	Tabellaria	Tabellariaceae	Bacillariophyceae	1	
150	Eunotia_exigua	Eunotia	Eunotiaceae	Bacillariophyceae	1	
153	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
156	Gomphonema_exilissimum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
159	Pinnularia_subcapitata	Pinnularia	Pinnulariaceae	Bacillariophyceae	1	
160	Gomphonema_exilissimum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
163	Encyonopsis_falaisensis	Encyonopsis	Cymbellaceae	Bacillariophyceae	1	
163	Navicula_veneta	Navicula	Naviculaceae	Bacillariophyceae	1	
164	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
165	Gomphonema_exilissimum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
168	Gomphonema_parvulum	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
171	Fragilaria_vaucheriae	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
176	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1	
177	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
180	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1	
185	Fragilaria_gracilis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
186	Gomphonema_hebridense	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
189	Tabellaria_flocculosa	Tabellaria	Tabellariaceae	Bacillariophyceae	1	
190	Pinnularia_microstauron	Pinnularia	Pinnulariaceae	Bacillariophyceae	1	
191	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
193	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
194	Fragilaria_crotonensis	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
195	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
196	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
199	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
200	Gomphonema_hebridense	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
201	Gomphonema_hebridense	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
203	Fragilaria_pararumpens	Fragilaria	Fragilariaceae	Bacillariophyceae	1	
204	Gomphonema_hebridense	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
206	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1	
208	Achnanthidium_minutissimum	Achnanthidium	Achnanthidiaceae	Bacillariophyceae	1	
210	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
211	Gomphonema_hebridense	Gomphonema	Gomphonemataceae	Bacillariophyceae	1	
212	Pinnularia_subcapitata	Pinnularia	Pinnulariaceae	Bacillariophyceae	1	
220	Ulnaria_ulna	Ulnaria	Fragilariaceae	Bacillariophyceae	1	
225	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
227	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
234	Nitzschia_palea	Nitzschia	Bacillariaceae	Bacillariophyceae	1	
