	sequences per sample	iteration	DTM100	DTM113	DTM15	DTM34	DTM42	DTM44	DTM45	DTM47	DTM55	DTM56	DTM69	DTM72	DTM73	DTM74	DTM96	DTM98	DTM99
alpha_rarefaction_10_0.biom	10	0	3.0	3.0	7.0	3.0	6.5	5.0	5.0	8.5	4.0	3.0	8.0	2.0	1.0	4.0	2.0	3.0	6.5
alpha_rarefaction_10_1.biom	10	1	5.0	2.0	22.0	2.0	22.0	5.0	5.33333333333	8.0	3.0	5.33333333333	9.0	7.0	1.0	5.33333333333	2.0	2.0	5.0
alpha_rarefaction_10_2.biom	10	2	3.0	7.0	12.0	7.0	3.0	3.0	4.0	11.0	2.0	4.0	8.0	3.0	1.0	5.5	2.0	3.0	4.5
alpha_rarefaction_10_3.biom	10	3	3.0	3.0	8.0	7.0	5.33333333333	4.5	12.0	16.0	4.0	3.0	5.33333333333	4.0	2.0	3.0	2.0	4.0	2.0
alpha_rarefaction_10_4.biom	10	4	2.0	6.5	6.5	3.0	5.33333333333	5.0	3.0	8.0	2.0	5.0	5.5	4.0	1.0	5.0	2.0	4.0	4.5
alpha_rarefaction_10_5.biom	10	5	2.0	11.0	12.0	3.0	11.0	3.0	4.0	2.0	4.5	4.0	5.5	2.0	2.0	5.0	2.0	2.0	5.0
alpha_rarefaction_10_6.biom	10	6	3.0	6.5	6.5	2.0	6.5	3.0	7.0	3.0	7.0	4.0	7.0	2.0	1.0	4.0	2.0	2.0	5.0
alpha_rarefaction_10_7.biom	10	7	9.0	4.5	3.0	4.0	6.5	4.0	3.0	8.5	4.0	6.5	4.0	1.0	1.0	2.0	4.0	7.0	5.33333333333
alpha_rarefaction_10_8.biom	10	8	4.0	3.0	8.5	4.5	9.0	5.0	9.0	12.0	3.0	5.5	9.0	1.0	1.0	3.0	3.0	2.0	5.0
alpha_rarefaction_10_9.biom	10	9	3.0	2.0	6.2	4.5	7.0	2.0	7.0	9.0	1.0	4.0	6.5	3.0	1.0	4.0	2.0	4.5	5.0
alpha_rarefaction_19_0.biom	19	0	12.0	17.0	7.0	3.0	6.0	3.0	10.0	10.5	4.0	6.0	10.0	2.0	2.0	5.0	2.0	4.0	5.0
alpha_rarefaction_19_1.biom	19	1	4.0	13.0	14.0	3.0	6.33333333333	6.0	6.0	11.0	8.0	5.0	6.0	4.0	1.0	4.0	3.0	4.5	5.0
alpha_rarefaction_19_2.biom	19	2	5.0	7.5	10.0	4.0	6.0	6.0	10.0	18.0	4.0	9.0	5.0	3.0	2.0	9.0	4.5	3.0	6.0
alpha_rarefaction_19_3.biom	19	3	12.0	6.5	7.33333333333	5.0	11.3333333333	6.0	5.0	6.0	5.0	6.33333333333	7.33333333333	2.0	2.0	9.0	4.0	7.0	8.0
alpha_rarefaction_19_4.biom	19	4	12.0	8.0	11.0	4.0	13.0	4.0	8.5	8.0	4.5	6.5	14.0	2.0	1.0	6.5	4.5	7.0	5.0
alpha_rarefaction_19_5.biom	19	5	3.0	8.0	7.0	4.0	6.0	4.0	6.0	8.0	4.0	6.0	6.5	3.0	2.0	9.0	3.0	4.0	4.0
alpha_rarefaction_19_6.biom	19	6	4.0	6.5	11.0	4.0	8.5	5.0	9.0	7.2	3.0	9.0	8.5	3.0	1.0	6.0	4.0	11.0	6.0
alpha_rarefaction_19_7.biom	19	7	8.0	6.25	7.5	4.0	7.5	7.5	6.5	11.0	5.0	13.0	9.0	3.0	2.0	6.5	2.0	5.33333333333	10.0
alpha_rarefaction_19_8.biom	19	8	4.0	17.0	7.33333333333	3.0	13.0	4.0	4.0	17.0	8.0	13.0	9.0	4.0	2.0	4.0	5.0	4.0	5.0
alpha_rarefaction_19_9.biom	19	9	17.0	9.0	11.0	5.0	6.0	4.0	3.0	13.0	3.0	4.0	9.0	2.0	2.0	4.0	3.0	6.5	7.5
alpha_rarefaction_28_0.biom	28	0	4.0	11.0	10.0	4.0	7.0	5.5	6.0	9.0	6.0	5.0	7.33333333333	3.0	1.0	5.0	3.0	4.0	7.5
alpha_rarefaction_28_1.biom	28	1	3.0	6.33333333333	8.0	4.0	12.0	5.0	18.0	8.25	4.0	6.0	9.5	2.0	2.0	7.5	4.0	5.0	7.5
alpha_rarefaction_28_2.biom	28	2	5.5	6.0	9.5	5.0	9.5	7.5	11.0	11.0	9.0	8.0	7.5	3.0	2.0	6.5	4.5	8.0	7.0
alpha_rarefaction_28_3.biom	28	3	7.5	9.0	15.0	9.0	8.5	3.0	6.0	10.5	5.5	5.0	8.0	3.0	2.0	5.0	3.0	12.0	4.0
alpha_rarefaction_28_4.biom	28	4	23.0	7.75	25.0	6.0	7.5	4.0	6.0	9.2	10.0	7.0	6.0	4.5	2.0	6.0	5.0	5.0	7.0
alpha_rarefaction_28_5.biom	28	5	7.5	12.0	10.5	4.0	8.33333333333	8.0	7.0	9.0	4.0	5.0	5.0	3.0	2.0	5.0	5.0	5.33333333333	4.0
alpha_rarefaction_28_6.biom	28	6	4.0	8.5	7.5	6.0	8.5	6.5	6.0	10.5	3.0	6.0	4.0	3.0	1.0	7.0	3.0	5.5	9.0
alpha_rarefaction_28_7.biom	28	7	4.0	8.0	15.0	5.0	10.0	5.0	7.5	18.0	5.5	7.33333333333	6.0	4.0	2.0	7.33333333333	5.0	4.0	7.5
alpha_rarefaction_28_8.biom	28	8	5.0	8.0	8.33333333333	4.0	8.0	5.0	8.5	11.0	5.5	6.0	6.5	3.0	1.0	5.0	5.0	5.33333333333	6.0
alpha_rarefaction_28_9.biom	28	9	5.0	10.0	15.0	9.0	9.0	7.5	5.0	8.25	4.0	5.0	14.0	3.0	2.0	5.0	2.0	5.0	4.0
alpha_rarefaction_37_0.biom	37	0	8.75	16.0	14.3333333333	5.0	15.0	5.0	7.33333333333	8.25	5.0	7.0	8.5	4.0	2.0	6.0	8.0	4.0	10.0
alpha_rarefaction_37_1.biom	37	1	4.0	8.5	16.0	5.0	11.0	6.0	7.5	21.5	6.0	7.5	7.5	4.5	2.0	8.0	5.0	8.0	11.0
alpha_rarefaction_37_2.biom	37	2	10.0	14.0	22.5	6.5	8.5	9.0	5.0	20.0	6.0	7.0	7.5	4.0	2.0	5.0	3.0	5.0	6.5
alpha_rarefaction_37_3.biom	37	3	13.0	6.5	16.0	6.5	7.0	9.0	8.5	9.25	5.0	6.0	8.0	3.0	2.0	9.0	2.0	7.5	6.0
alpha_rarefaction_37_4.biom	37	4	10.0	6.5	9.0	5.0	8.33333333333	5.5	4.0	9.33333333333	6.0	7.0	10.0	3.0	2.0	6.0	8.0	12.0	5.0
alpha_rarefaction_37_5.biom	37	5	13.0	11.0	10.5	7.0	15.0	5.0	7.5	14.0	5.0	9.0	9.5	4.0	2.0	7.33333333333	2.0	9.0	7.33333333333
alpha_rarefaction_37_6.biom	37	6	10.0	18.0	15.3333333333	4.0	11.0	5.0	6.0	9.2	3.0	7.5	8.0	3.0	2.0	9.0	5.0	5.0	4.0
alpha_rarefaction_37_7.biom	37	7	6.5	11.2	10.5	4.0	9.0	4.0	7.0	9.5	6.0	6.0	6.0	5.0	1.0	5.0	2.0	6.5	10.0
alpha_rarefaction_37_8.biom	37	8	5.5	11.0	10.75	5.0	11.0	5.0	7.5	9.5	5.0	6.0	12.0	3.0	1.0	5.0	8.0	5.5	7.5
alpha_rarefaction_37_9.biom	37	9	8.0	7.5	10.5	4.0	8.5	5.0	6.0	11.0	5.0	6.0	8.0	4.0	1.0	7.0	3.0	5.0	5.0
alpha_rarefaction_46_0.biom	46	0	12.0	7.25	19.5	8.5	6.0	6.0	8.5	13.0	5.0	7.0	9.25	4.0	2.0	7.33333333333	3.0	5.0	7.0
alpha_rarefaction_46_1.biom	46	1	8.0	10.0	9.33333333333	4.0	16.0	5.0	9.5	12.0	9.0	11.0	8.5	4.5	2.0	6.5	3.0	4.0	6.0
alpha_rarefaction_46_2.biom	46	2	6.33333333333	11.0	9.33333333333	6.0	15.0	7.0	8.33333333333	18.5	4.0	7.0	8.33333333333	3.0	2.0	6.0	4.0	3.0	6.0
alpha_rarefaction_46_3.biom	46	3	7.0	15.0	13.0	7.0	11.0	5.5	7.5	9.5	6.5	7.0	9.25	4.0	2.0	8.0	3.0	6.0	6.0
alpha_rarefaction_46_4.biom	46	4	7.5	9.0	11.75	7.0	12.0	5.0	9.5	13.5	9.0	7.0	6.0	5.0	2.0	6.0	3.0	4.0	7.0
alpha_rarefaction_46_5.biom	46	5	6.33333333333	11.5	10.3333333333	5.0	10.0	6.0	11.0	12.2	5.0	8.0	7.5	3.0	2.0	10.0	2.0	6.5	7.0
alpha_rarefaction_46_6.biom	46	6	7.25	11.0	13.0	10.0	15.0	4.0	9.5	12.0	4.0	10.0	8.0	4.0	2.0	7.5	5.0	7.5	6.5
alpha_rarefaction_46_7.biom	46	7	7.33333333333	6.5	13.0	7.0	8.0	5.0	7.0	8.0	4.0	7.0	8.5	4.0	2.0	6.0	4.0	7.5	6.5
alpha_rarefaction_46_8.biom	46	8	8.5	10.0	11.75	4.0	16.0	5.0	10.0	10.3333333333	7.0	6.0	8.0	4.0	2.0	6.0	3.0	4.0	6.0
alpha_rarefaction_46_9.biom	46	9	6.0	10.0	19.5	5.0	11.0	5.0	14.0	12.0	6.5	10.0	8.0	4.0	1.0	6.0	8.0	8.0	7.33333333333
alpha_rarefaction_55_0.biom	55	0	11.0	8.25	14.0	5.0	6.0	6.0	9.5	16.0	6.0	7.0	8.5	4.0	2.0	7.0	5.0	9.0	7.5
alpha_rarefaction_55_1.biom	55	1	8.0	11.0	11.0	7.0	12.0	7.0	11.0	9.5	5.0	7.0	10.5	4.0	2.0	6.0	4.0	6.0	8.5
alpha_rarefaction_55_2.biom	55	2	9.0	8.25	11.5	8.5	10.5	6.5	10.0	10.75	7.0	7.0	8.0	4.0	2.0	5.0	5.5	5.0	7.5
alpha_rarefaction_55_3.biom	55	3	8.0	11.0	13.0	7.0	8.33333333333	6.5	10.0	9.0	9.0	6.0	8.0	4.0	2.0	7.5	5.5	6.0	7.0
alpha_rarefaction_55_4.biom	55	4	9.0	19.0	11.2	6.5	12.0	6.0	7.0	15.3333333333	6.5	7.0	9.33333333333	3.0	2.0	6.0	5.0	7.5	7.0
alpha_rarefaction_55_5.biom	55	5	10.5	9.75	22.0	7.0	20.0	5.0	14.0	14.0	5.0	8.5	8.5	3.0	2.0	6.0	4.0	5.0	6.0
alpha_rarefaction_55_6.biom	55	6	8.25	7.25	14.0	6.5	13.0	5.0	9.5	11.5	6.0	8.5	8.0	4.0	2.0	8.5	2.0	6.0	14.0
alpha_rarefaction_55_7.biom	55	7	7.33333333333	8.25	23.5	10.0	10.5	6.0	10.5	11.2	6.0	9.0	12.0	4.0	2.0	7.0	5.0	8.5	8.5
alpha_rarefaction_55_8.biom	55	8	6.5	12.0	12.0	8.5	10.0	7.0	9.5	10.25	6.5	9.0	11.0	4.0	2.0	7.33333333333	4.0	8.5	11.0
alpha_rarefaction_55_9.biom	55	9	6.5	9.75	11.75	7.0	6.0	7.0	11.0	11.75	6.5	6.0	11.0	4.0	2.0	6.0	3.0	5.0	7.5
alpha_rarefaction_64_0.biom	64	0	7.33333333333	10.6	15.0	5.0	10.5	5.0	12.0	15.3333333333	5.0	9.0	9.33333333333	4.0	2.0	6.0	8.0	5.0	14.0
alpha_rarefaction_64_1.biom	64	1	8.33333333333	10.0	28.0	5.0	15.0	7.0	8.5	12.75	10.0	9.0	15.0	4.0	2.0	7.0	3.0	7.5	7.0
alpha_rarefaction_64_2.biom	64	2	8.5	9.5	14.0	4.0	21.0	6.0	9.5	12.5	6.5	9.0	7.0	3.0	2.0	5.0	5.0	9.0	8.0
alpha_rarefaction_64_3.biom	64	3	6.0	20.0	11.3333333333	5.0	16.0	5.0	12.0	13.5	6.5	9.0	11.0	4.0	2.0	7.0	4.0	5.5	7.0
alpha_rarefaction_64_4.biom	64	4	13.0	16.0	11.3333333333	7.0	12.0	6.0	9.5	10.5	13.0	9.0	8.5	4.0	2.0	5.0	8.0	5.0	8.33333333333
alpha_rarefaction_64_5.biom	64	5	8.75	11.5	16.3333333333	7.0	20.0	5.0	10.5	10.5	9.0	9.0	9.0	4.0	2.0	6.0	5.0	6.0	7.0
alpha_rarefaction_64_6.biom	64	6	10.0	15.0	14.0	7.0	21.0	5.0	7.0	11.75	7.0	7.0	9.0	4.0	2.0	5.0	8.0	8.5	7.33333333333
alpha_rarefaction_64_7.biom	64	7	7.5	10.0	14.0	7.0	20.0	7.0	8.5	17.0	8.5	7.0	9.0	4.0	2.0	7.0	4.0	5.0	9.5
alpha_rarefaction_64_8.biom	64	8	8.33333333333	15.0	15.0	10.0	21.0	5.0	9.5	10.5	13.0	9.0	7.0	4.0	2.0	7.0	2.0	6.0	8.0
alpha_rarefaction_64_9.biom	64	9	9.5	16.0	14.5	7.0	10.5	7.0	9.5	13.0	4.0	8.0	9.5	4.0	2.0	7.0	4.0	6.5	8.33333333333
alpha_rarefaction_73_0.biom	73	0	12.0	11.5	15.0	10.0	16.0	5.0	10.0	14.0	6.5	9.0	9.0	4.0	2.0	7.0	4.0	6.0	11.0
alpha_rarefaction_73_1.biom	73	1	9.75	10.0	11.25	10.0	16.0	6.0	8.5	12.5	8.5	7.0	9.0	4.0	2.0	7.0	5.0	7.33333333333	6.0
alpha_rarefaction_73_2.biom	73	2	12.0	14.3333333333	12.5	7.0	10.5	6.0	8.5	11.2	6.5	9.0	9.5	4.0	2.0	7.0	5.5	13.0	8.33333333333
alpha_rarefaction_73_3.biom	73	3	10.5	12.0	11.25	10.0	21.0	6.0	9.5	15.0	10.0	8.5	8.0	4.0	2.0	6.0	8.0	8.5	9.5
alpha_rarefaction_73_4.biom	73	4	11.0	10.75	15.0	7.0	21.0	5.0	7.0	12.5	6.5	9.0	8.0	4.0	2.0	8.0	5.5	6.0	8.0
alpha_rarefaction_73_5.biom	73	5	8.25	10.5	13.0	5.0	21.0	6.0	9.0	12.5	6.5	9.0	9.0	4.0	2.0	8.0	5.0	8.5	7.5
alpha_rarefaction_73_6.biom	73	6	9.5	9.33333333333	15.0	10.0	21.0	7.0	15.0	17.0	8.5	9.0	9.0	4.0	2.0	5.0	5.5	7.25	8.0
alpha_rarefaction_73_7.biom	73	7	9.0	13.0	15.0	7.0	12.0	6.0	10.5	12.75	6.5	9.0	9.33333333333	4.0	2.0	7.0	4.0	13.0	7.5
alpha_rarefaction_73_8.biom	73	8	11.0	21.0	15.0	10.0	12.0	5.0	10.0	11.3333333333	7.0	9.0	9.0	3.0	2.0	7.0	4.0	6.5	8.0
alpha_rarefaction_73_9.biom	73	9	7.0	9.75	11.3333333333	7.0	16.0	5.0	12.0	11.3333333333	7.0	7.0	12.0	4.0	2.0	6.0	5.5	9.0	7.0
alpha_rarefaction_82_0.biom	82	0	8.25	16.0	15.0	10.0	21.0	6.0	8.5	12.75	7.0	9.0	9.5	4.0	2.0	7.0	8.0	6.5	8.0
alpha_rarefaction_82_1.biom	82	1	10.0	14.0	15.0	10.0	16.0	6.0	10.5	12.75	10.0	9.0	12.0	4.0	2.0	7.0	4.0	6.5	8.5
alpha_rarefaction_82_2.biom	82	2	9.75	11.5	13.0	10.0	21.0	6.0	12.0	13.0	10.0	9.0	9.5	4.0	2.0	6.0	4.0	8.5	8.0
alpha_rarefaction_82_3.biom	82	3	8.33333333333	14.0	15.0	10.0	26.0	6.0	12.0	12.75	7.0	9.0	9.0	4.0	2.0	7.0	5.5	7.33333333333	8.0
alpha_rarefaction_82_4.biom	82	4	10.0	11.0	15.0	7.0	16.0	6.0	15.0	11.3333333333	7.0	7.0	9.0	4.0	2.0	7.0	5.5	7.33333333333	8.0
alpha_rarefaction_82_5.biom	82	5	10.5	13.0	15.0	7.0	21.0	6.0	10.5	13.0	10.0	9.0	9.0	4.0	2.0	8.0	5.5	7.33333333333	8.0
alpha_rarefaction_82_6.biom	82	6	10.0	11.5	15.0	10.0	21.0	6.0	12.0	17.0	10.0	9.0	9.0	4.0	2.0	7.0	5.5	7.33333333333	9.5
alpha_rarefaction_82_7.biom	82	7	9.75	11.0	15.0	10.0	21.0	6.0	15.0	12.75	6.5	7.0	9.0	4.0	2.0	7.0	5.5	8.5	9.5
alpha_rarefaction_82_8.biom	82	8	10.0	13.0	14.5	10.0	26.0	6.0	10.5	11.3333333333	7.0	9.0	9.0	4.0	2.0	6.0	8.0	6.0	8.5
alpha_rarefaction_82_9.biom	82	9	10.5	21.0	15.0	5.0	16.0	6.0	12.0	13.0	8.5	9.0	9.0	3.0	2.0	7.0	4.0	8.5	8.0
alpha_rarefaction_91_0.biom	91	0	10.5	14.0	15.0	10.0	21.0	6.0	12.0	13.0	10.0	9.0	9.0	4.0	2.0	7.0	5.5	7.33333333333	8.0
alpha_rarefaction_91_1.biom	91	1	10.0	14.0	15.0	10.0	21.0	5.0	12.0	13.0	10.0	9.0	9.0	4.0	2.0	6.0	5.5	7.33333333333	8.0
alpha_rarefaction_91_2.biom	91	2	10.5	14.0	15.0	10.0	21.0	6.0	12.0	13.0	10.0	9.0	9.0	4.0	2.0	7.0	5.5	7.33333333333	8.5
alpha_rarefaction_91_3.biom	91	3	10.5	14.0	15.0	10.0	21.0	6.0	12.0	13.0	10.0	9.0	9.0	4.0	2.0	7.0	5.5	7.33333333333	7.0
alpha_rarefaction_91_4.biom	91	4	10.5	14.0	15.0	10.0	21.0	6.0	12.0	13.0	10.0	9.0	9.0	4.0	2.0	7.0	8.0	7.33333333333	8.0
alpha_rarefaction_91_5.biom	91	5	8.33333333333	14.0	15.0	10.0	21.0	6.0	12.0	13.0	10.0	9.0	9.0	4.0	2.0	7.0	5.5	7.33333333333	8.5
alpha_rarefaction_91_6.biom	91	6	8.5	14.0	15.0	10.0	21.0	6.0	12.0	13.0	10.0	9.0	9.0	4.0	2.0	8.0	5.5	7.33333333333	7.0
alpha_rarefaction_91_7.biom	91	7	10.5	14.0	15.0	10.0	21.0	6.0	12.0	13.0	10.0	9.0	9.0	4.0	2.0	7.0	5.5	7.33333333333	8.5
alpha_rarefaction_91_8.biom	91	8	10.0	14.0	15.0	10.0	21.0	6.0	12.0	13.0	10.0	9.0	9.0	4.0	2.0	7.0	5.5	7.33333333333	8.0
alpha_rarefaction_91_9.biom	91	9	10.5	14.0	15.0	10.0	21.0	6.0	12.0	13.0	10.0	9.0	9.0	4.0	2.0	7.0	5.5	7.33333333333	8.0
alpha_rarefaction_100_0.biom	100	0	10.5	14.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	9.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_1.biom	100	1	10.5	14.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	9.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_2.biom	100	2	10.5	14.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	9.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_3.biom	100	3	10.5	14.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	9.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_4.biom	100	4	10.5	14.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	9.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
alpha_rarefaction_100_5.biom	100	5	10.5	14.0	n/a	n/a	20.0	6.0	n/a	26.0	n/a	9.0	9.0	n/a	9.0	n/a	n/a	7.0	n/a
