	sequences per sample	iteration	DTM100	DTM113	DTM15	DTM34	DTM42	DTM44	DTM45	DTM47	DTM55	DTM56	DTM69	DTM72	DTM73	DTM74	DTM96	DTM98	DTM99
alpha_rarefaction_10_0.biom	10	0	3.0	3.0	6.0	3.0	5.0	4.0	5.0	7.0	3.0	3.0	5.0	2.0	1.0	4.0	2.0	3.0	5.0
alpha_rarefaction_10_1.biom	10	1	4.0	2.0	7.0	2.0	7.0	4.0	5.0	5.0	3.0	5.0	6.0	4.0	1.0	5.0	2.0	2.0	4.0
alpha_rarefaction_10_2.biom	10	2	3.0	4.0	7.0	4.0	3.0	3.0	4.0	5.0	2.0	4.0	5.0	3.0	1.0	5.0	2.0	3.0	4.0
alpha_rarefaction_10_3.biom	10	3	3.0	3.0	5.0	4.0	5.0	4.0	7.0	6.0	3.0	3.0	5.0	3.0	2.0	3.0	2.0	3.0	2.0
alpha_rarefaction_10_4.biom	10	4	2.0	5.0	5.0	3.0	5.0	4.0	3.0	5.0	2.0	4.0	5.0	3.0	1.0	4.0	2.0	3.0	4.0
alpha_rarefaction_10_5.biom	10	5	2.0	5.0	7.0	3.0	5.0	3.0	4.0	2.0	4.0	4.0	5.0	2.0	2.0	4.0	2.0	2.0	4.0
alpha_rarefaction_10_6.biom	10	6	3.0	5.0	5.0	2.0	5.0	3.0	4.0	3.0	4.0	4.0	6.0	2.0	1.0	4.0	2.0	2.0	4.0
alpha_rarefaction_10_7.biom	10	7	6.0	4.0	3.0	3.0	5.0	4.0	3.0	7.0	3.0	5.0	4.0	1.0	1.0	2.0	3.0	4.0	5.0
alpha_rarefaction_10_8.biom	10	8	4.0	3.0	7.0	4.0	6.0	4.0	6.0	7.0	3.0	5.0	6.0	1.0	1.0	3.0	3.0	2.0	4.0
alpha_rarefaction_10_9.biom	10	9	3.0	2.0	6.0	4.0	4.0	2.0	6.0	6.0	1.0	3.0	5.0	3.0	1.0	4.0	2.0	4.0	4.0
alpha_rarefaction_19_0.biom	19	0	6.0	7.0	6.0	3.0	5.0	3.0	7.0	9.0	4.0	6.0	7.0	2.0	2.0	5.0	2.0	4.0	5.0
alpha_rarefaction_19_1.biom	19	1	4.0	8.0	8.0	3.0	6.0	5.0	5.0	8.0	5.0	5.0	6.0	4.0	1.0	4.0	3.0	4.0	5.0
alpha_rarefaction_19_2.biom	19	2	4.0	6.0	7.0	4.0	6.0	5.0	7.0	8.0	4.0	6.0	5.0	3.0	2.0	6.0	4.0	3.0	5.0
alpha_rarefaction_19_3.biom	19	3	6.0	5.0	7.0	5.0	8.0	5.0	5.0	6.0	4.0	6.0	7.0	2.0	2.0	6.0	4.0	4.0	5.0
alpha_rarefaction_19_4.biom	19	4	6.0	7.0	9.0	4.0	8.0	4.0	7.0	7.0	4.0	6.0	8.0	2.0	1.0	6.0	4.0	4.0	5.0
alpha_rarefaction_19_5.biom	19	5	3.0	7.0	6.0	4.0	5.0	4.0	5.0	7.0	4.0	5.0	6.0	3.0	2.0	6.0	3.0	4.0	4.0
alpha_rarefaction_19_6.biom	19	6	4.0	5.0	8.0	4.0	7.0	5.0	6.0	7.0	3.0	6.0	7.0	3.0	1.0	5.0	4.0	5.0	5.0
