	sequences per sample	iteration	DTM100	DTM113	DTM15	DTM34	DTM42	DTM44	DTM45	DTM47	DTM55	DTM56	DTM69	DTM72	DTM73	DTM74	DTM96	DTM98	DTM99
alpha_rarefaction_10_0.biom	10	0	1.29546184424	1.15677964945	2.44643934467	1.37095059445	1.96096404744	1.68547529723	2.24643934467	2.72192809489	0.921928094887	1.52192809489	2.04643934467	0.468995593589	-0	1.92192809489	0.881290899231	1.15677964945	1.96096404744
alpha_rarefaction_10_1.biom	10	1	1.68547529723	0.721928094887	2.52192809489	0.721928094887	2.52192809489	1.68547529723	2.12192809489	2.04643934467	1.29546184424	2.12192809489	2.32192809489	1.35677964945	-0	2.12192809489	0.881290899231	0.881290899231	1.68547529723
alpha_rarefaction_10_2.biom	10	2	1.36096404744	1.35677964945	2.64643934467	1.35677964945	1.48547529723	1.36096404744	1.89546184424	1.77095059445	0.970950594455	1.76096404744	2.04643934467	1.15677964945	-0	2.17095059445	0.468995593589	1.15677964945	1.57095059445
alpha_rarefaction_10_3.biom	10	3	1.29546184424	1.15677964945	2.04643934467	1.35677964945	2.12192809489	1.57095059445	2.64643934467	2.16096404744	0.921928094887	1.57095059445	2.12192809489	0.921928094887	0.468995593589	1.57095059445	0.721928094887	0.921928094887	0.970950594455
alpha_rarefaction_10_4.biom	10	4	0.970950594455	1.96096404744	1.96096404744	1.37095059445	2.12192809489	1.68547529723	1.36096404744	2.04643934467	0.881290899231	1.68547529723	2.17095059445	0.921928094887	-0	1.68547529723	0.721928094887	0.921928094887	1.57095059445
alpha_rarefaction_10_5.biom	10	5	0.721928094887	1.77095059445	2.64643934467	1.29546184424	1.77095059445	1.29546184424	1.84643934467	0.881290899231	1.57095059445	1.84643934467	2.17095059445	0.468995593589	0.468995593589	1.72192809489	0.881290899231	0.721928094887	1.68547529723
alpha_rarefaction_10_6.biom	10	6	1.15677964945	1.96096404744	1.96096404744	1.0	1.96096404744	1.48547529723	1.35677964945	1.15677964945	1.35677964945	1.84643934467	2.44643934467	0.468995593589	-0	1.84643934467	0.881290899231	0.468995593589	1.72192809489
alpha_rarefaction_10_7.biom	10	7	2.32192809489	1.57095059445	1.48547529723	0.921928094887	1.96096404744	1.84643934467	1.48547529723	2.72192809489	0.921928094887	1.96096404744	1.76096404744	-0	-0	0.970950594455	0.921928094887	1.35677964945	2.12192809489
alpha_rarefaction_10_8.biom	10	8	1.84643934467	1.29546184424	2.72192809489	1.57095059445	2.32192809489	1.68547529723	2.32192809489	2.64643934467	1.15677964945	2.17095059445	2.32192809489	-0	-0	1.57095059445	1.15677964945	0.468995593589	1.68547529723
alpha_rarefaction_10_9.biom	10	9	1.29546184424	0.721928094887	2.52192809489	1.57095059445	1.35677964945	1.0	2.44643934467	2.32192809489	-0	0.921928094887	1.96096404744	1.15677964945	-0	1.89546184424	0.468995593589	1.57095059445	1.72192809489
