000	No_Match
006	Cymbella_cymbiformis
027	Fragilaria_radians
041	Fragilaria_vaucheriae
052	Diatoma_moniliformis
063	Gomphonema_micropus
066	Navicula_cryptocephala
081	Navicula_cryptotenella
087	Amphora_pediculus
126	Pinnularia_sp
171	Fragilaria_vaucheriae
208	Achnanthidium_minutissimum_OTU5
212	Pinnularia_subcapitata
307	Nitzschia_vermicularoides
309	Nitzschia_palea
311	Gomphonema_pumilum
314	Encyonema_minutum
331	Navicula_lanceolata
332	Nitzschia_cf
445	Encyonema_minutum
458	Pinnularia_microstauron
469	Nitzschia_cf
471	Eunotia_bilunaris
503	Nitzschia_amphibia
559	Achnanthidium_minutissimum_OTU3
568	Gomphonema_parvulum
569	Gomphonema_sp
586	Gomphonema_minutum
590	Eunotia_minor
593	Navicula_sp
643	Fragilaria_gracilis
647	Pseudostaurosira_brevistriata
649	Nitzschia_dissipata
661	Gomphonema_truncatum
670	Nitzschia_palea
675	Nitzschia_paleacea
679	Amphora_pediculus
683	Melosira_varians
684	Encyonema_sp
689	Cocconeis_placentula
690	Achnanthidium_minutissimum_OTU2
703	Gomphonema_cymbelliclinum
706	Ulnaria_acus
707	Achnanthidium_minutissimum_OTU4
716	Navicula_sp
718	Rhoicosphenia_abbreviata
721	Diatoma_vulgaris
722	Nitzschia_amphibia
723	Cocconeis_pediculus
725	Achnanthidium_minutissimum_OTU1
728	Navicula_radiosa
731	Encyonopsis_microcephala
740	Eunotia_implicata
753	Thalassiosira_pseudonana
758	Pinnularia_neomajor
762	Neidium_dubium
764	Gomphonema_parvulum
767	Melosira_varians
768	Surirella_angusta
771	Nitzschia_palea
778	Planothidium_lanceolatum
787	Nitzschia_sigmoidea
791	Fragilaria_Lyngbye
795	Nitzschia_recta
796	Navicula_gregaria
800	Navicula_sp
802	Reimeria_sinuata
816	Surirella_brebissonii
817	Navicula_lanceolata
836	Ulnaria_ulna
841	Navicula_gregaria
843	Surirella_brebissonii
847	Encyonema_silesiacum
849	Meridion_circulare
855	Fragilaria_gracilis
865	Planothidium_lanceolatum
866	Nitzschia_dissipata
867	Navicula_gregaria
868	Nitzschia_dissipata
869	Navicula_upsaliensis
876	Stephanodiscus_hantzschii
881	Ulnaria_ulna
883	Thalassiosira_weissfloggii
893	Sellaphora_seminulum
901	Gomphonema_clavatum
906	Achnanthidium_minutissimum_OTU4
910	Nitzschia_palea
911	Achnanthidium_minutissimum_OTU5
913	Nitzschia_palea
914	Planothidium_frequentissimum
s495	Eolimna_minima
gHQ912474	Denticula_sp
gHQ912403	Amphora_pediculus
iDTM113_247	Diatoma_sp
iDTM98_32	Achnanthidium_minutissimum
iDTM42_2671	Eolimna_minima
iDTM42_719	Eolimna_minima
iDTM44_274	Eolimna_minima
iDTM42_1080	Eolimna_minima
iDTM96_900	Eolimna_minima
