	shannon	chao1	simpson	observed_species
DTM100	2.05442897507	14.0	0.643160524902	14.0
DTM113	2.64175414053	59.0	0.656327145301	59.0
DTM15	3.66288924246	46.0	0.87988389781	46.0
DTM34	2.15873063107	29.0	0.648267046284	29.0
DTM42	3.02571153602	37.0	0.808920291312	37.0
DTM44	1.89394308026	23.0	0.644986884058	23.0
DTM45	2.86562408952	33.0	0.787750349789	33.0
DTM47	3.11530615737	44.0	0.799245429922	44.0
DTM55	2.12981418334	44.0	0.571416456034	44.0
DTM56	2.54312111677	16.0	0.77199954695	16.0
DTM69	3.00765917528	32.0	0.826057167872	32.0
DTM72	0.96415697821	11.0	0.296810374202	11.0
DTM73	0.490877672335	10.0	0.135195090002	10.0
DTM74	2.3265990311	11.0	0.751704360761	11.0
DTM96	1.10137841939	9.0	0.377675612791	9.0
DTM98	1.43519718032	10.0	0.420314642187	10.0
DTM99	2.27227032993	13.0	0.714847742296	13.0
