OTU	size
s5_151	1
s5_170	1
s5_171	1
s5_157	1
s5_145	1
s5_163	1
s5_233	3
s5_133	2
s5_140	3
s5_134	1
s5_372	1
s5_416	2
s5_379	1
s5_390	1
s5_103	1
s5_115	1
s5_21	1
s5_65	1
s5_415	1
s5_56	5
s5_81	1
s5_105	1
s5_269	1
s5_114	1
s5_369	1
s5_121	1
s5_19	1
s5_111	1
s5_391	1
s5_117	3
s5_129	4
s5_84	1
s5_119	2
s5_124	1
s5_102	1
s5_107	4
s5_123	2
s5_272	1
s5_384	3
s5_66	1
s5_122	1
s5_127	2
s5_131	1
s5_375	3
s5_18	1
s5_109	1
s5_389	3
s5_69	1
s5_106	1
s5_261	2
s5_366	1
s5_367	1
s5_345	1
s5_357	1
s5_9	8
s5_365	1
s5_370	1
s5_371	1
s5_343	2
s5_383	1
s5_340	1
s5_341	1
s5_339	1
s5_360	2
s5_89	1
s5_377	1
s5_364	1
s5_407	8
s5_438	2
s5_448	2
s5_394	5
s5_417	1
s5_388	1
s5_385	5
s5_393	4
s5_396	1
s5_400	3
s5_401	4
s5_422	1
s5_430	1
s5_441	1
s5_398	1
s5_404	1
s5_411	1
s5_445	2
s5_403	1
s5_435	2
s5_51	1
s5_88	1
s5_429	3
s5_444	1
s5_46	1
s5_427	1
s5_442	1
s5_405	1
s5_414	1
s5_251	1
s5_424	1
s5_447	1
s5_426	1
s5_419	1
s5_275	1
s5_82	1
s5_421	1
s5_80	2
s5_17	1
s5_26	1
s5_85	1
s5_24	1
s5_23	1
s5_71	1
s5_68	1
s5_91	5
s5_270	1
s5_64	1
s5_259	6
s5_28	1
s5_27	1
s5_274	2
s5_47	1
s5_70	3
s5_87	1
s5_258	2
s5_267	1
s5_263	1
s5_67	1
s5_101	1
s5_90	1
s5_25	1
s5_347	1
s5_352	1
s5_363	1
s5_355	1
s5_29	1
s5_346	3
s5_349	3
s5_348	1
s5_351	1
s5_362	1
s5_266	1
s5_217	3
s5_387	2
s5_57	14
s5_334	7
s5_307	1
s5_252	1
s5_256	1
s5_253	2
s5_255	1
s5_335	11
s5_53	1
s5_330	1
s5_308	1
s5_279	3
s5_296	2
s5_165	7
s5_48	1
s5_254	1
s5_218	1
s5_294	1
s5_284	2
s5_285	11
s5_302	1
s5_276	2
s5_44	1
s5_45	1
s5_319	1
s5_342	1
s5_282	1
s5_283	3
s5_300	1
s5_277	4
s5_225	1
s5_245	1
s5_220	1
s5_236	1
s5_182	5
s5_184	3
s5_224	2
s5_222	3
s5_241	1
s5_192	1
s5_231	1
s5_160	1
s5_209	1
s5_189	1
s5_227	1
s5_237	3
s5_201	1
s5_179	1
s5_3	1
s5_181	2
s5_185	1
s5_159	1
s5_8	1
s5_7	2
s5_1	1
s5_188	2
s5_214	6
s5_247	1
s5_175	2
s5_156	1
s5_190	3
s5_216	3
s5_187	3
s5_213	1
s5_191	2
s5_212	1
s5_211	1
s5_226	1
s5_243	1
s5_186	1
s5_200	3
s5_177	1
s5_202	1
s5_180	1
s5_141	1
s5_150	2
s5_149	2
s5_148	1
s5_199	1
s5_338	1
s5_327	1
s5_176	1
s5_198	1
s5_195	4
s5_235	1
s5_5	1
s5_219	1
s5_144	1
s5_194	1
s5_169	1
s5_137	1
s5_155	1
s5_31	1
s5_40	1
s5_37	3
s5_234	1
s5_172	2
s5_43	1
s5_32	1
s5_38	1
s5_33	3
s5_39	1
s5_36	1
s5_30	1
s5_313	1
s5_249	2
s5_55	1
s5_359	1
s5_310	1
s5_312	1
s5_22	1
s5_311	1
s5_93	5
s5_146	1
s5_147	1
s5_314	1
s5_309	1
s5_315	1
